,ACTB,AKT1,CD36,CD44,IL6,INS,PTPRC,TFRC,TNF,label
171,13559.0,1529.0,3904.0,1096.0,2.0,0.0,353.0,497.0,1.0,2
172,8819.0,1420.0,4607.0,364.0,5.0,0.0,71.0,482.0,1.0,2
173,8259.0,1131.0,6497.0,426.0,2.0,0.0,113.0,372.0,5.0,2
174,5579.0,1311.0,2621.0,154.0,101.0,0.0,68.0,417.0,7.0,0
175,4912.0,1537.0,9332.0,116.0,4.0,0.0,12.0,1658.0,1.0,0
176,4952.0,1408.0,4417.0,79.0,3.0,0.0,12.0,1715.0,2.0,0
177,9972.0,1189.0,3201.0,363.0,6.0,0.0,40.0,1024.0,0.0,0
178,7250.0,2242.0,9782.0,72.0,9.0,0.0,17.0,2830.0,0.0,0
179,5178.0,1308.0,3260.0,135.0,1.0,0.0,44.0,546.0,0.0,0
180,4144.0,1386.0,7115.0,132.0,7.0,0.0,46.0,340.0,0.0,2
181,7096.0,1122.0,9819.0,198.0,2.0,0.0,66.0,553.0,0.0,2
182,12439.0,959.0,6817.0,515.0,39.0,0.0,96.0,663.0,0.0,2
183,6375.0,866.0,5665.0,128.0,4.0,0.0,65.0,236.0,5.0,2
184,7614.0,1637.0,8959.0,258.0,0.0,0.0,69.0,478.0,0.0,2
185,14230.0,1755.0,5002.0,790.0,62.0,0.0,195.0,1156.0,10.0,2
186,17776.0,2068.0,5064.0,1570.0,7.0,0.0,609.0,763.0,0.0,2
187,7986.0,1355.0,5913.0,209.0,4.0,0.0,56.0,262.0,0.0,2
188,6114.0,1398.0,8940.0,241.0,1.0,0.0,59.0,332.0,0.0,2
189,6696.0,1175.0,3146.0,208.0,135.0,0.0,83.0,349.0,0.0,2
190,362153.0,940.0,2154.0,423.0,2.0,2.0,2632.0,1178.0,0.0,0
191,46382.0,162.0,439.0,181.0,0.0,1.0,318.0,399.0,0.0,0
192,87496.0,272.0,618.0,148.0,0.0,0.0,430.0,620.0,0.0,0
193,213907.0,375.0,2696.0,905.0,0.0,12.0,343.0,1302.0,0.0,0
194,204843.0,388.0,2021.0,382.0,1.0,5.0,275.0,2712.0,0.0,0
195,116367.0,238.0,1054.0,304.0,1.0,0.0,259.0,849.0,0.0,0
196,59755.0,115.0,756.0,990.0,0.0,0.0,135.0,922.0,0.0,3
197,35535.0,74.0,630.0,476.0,0.0,0.0,200.0,723.0,0.0,3
198,70151.0,114.0,764.0,304.0,1.0,0.0,536.0,554.0,0.0,3
